🐇国学,#genre#
千字文完美版,https://vd3.bdstatic.com/mda-khscyp4cchvmxzna/sc/cae_h264_nowatermark/mda-khscyp4cchvmxzna.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1676607225-0-0-09271c3253aaf21ec6b0ef00830d3663&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2625501060&vid=16875352194591326064&abtest=&klogid=2625501060
读千字文,https://vd2.bdstatic.com/mda-mgcwuz9tzzarhtr0/fhd/cae_h264_nowatermark/1626185547658413528/mda-mgcwuz9tzzarhtr0.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1676606698-0-0-cd22307aa55b986b77a87d7d16e191cc&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=2098354601&vid=5720206799970155520&abtest=&klogid=2098354601
千字文拼音和注释,https://vd4.bdstatic.com/mda-nfvic4brfmn3469b/1080p/cae_h264/1656594270768648075/mda-nfvic4brfmn3469b.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1676607113-0-0-424bbc15a466699618a19838e7886507&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2513369928&vid=6719888058994390192&abtest=&klogid=2513369928
唱千字文,https://vd3.bdstatic.com/mda-kk7pxcka1saq9zmw/v1-cae/sc/mda-kk7pxcka1saq9zmw.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1676606958-0-0-e518dde65b0c07f6491c437e07ab0c9c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2358302442&vid=7141966324222202197&abtest=&klogid=2358302442
三字经完美版,https://vd4.bdstatic.com/mda-mm0j0drz3fqeraez/1080p/cae_h264/1638456681082130593/mda-mm0j0drz3fqeraez.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1676607717-0-0-1f57c8d7941a232f8aff0002051e4fde&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3117121073&vid=7457489730647768832&abtest=&klogid=3117121073
三字经诵读,https://vd3.bdstatic.com/mda-naie2nj4thvntb7q/1080p/cae_h264_delogo/1642588039940280431/mda-naie2nj4thvntb7q.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1676607566-0-0-2ee0b8b0530e9fee56f15ec268bbb07a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2965951628&vid=11336293101102761311&abtest=&klogid=2965951628
三字经诵读2,https://vd3.bdstatic.com/mda-nbp562n8idv35pg1/1080p/cae_h264_delogo/1645677479920027929/mda-nbp562n8idv35pg1.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1676607632-0-0-526fdaf185c195e733f896a20162d87a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3032321093&vid=17043950398817379237&abtest=&klogid=3032321093


🐇少儿动画,#genre#
兔小贝儿歌,http://lvbaiducdncmn.inter.iqiyi.com/tslive/c54_lb_136_600_t10/c54_lb_136_600_t10.m3u8?key=0b292c335e5837e94ae056154862a578b
绘本故事,http://lvbaiducdncmn.inter.iqiyi.com/tslive/c57_lb_225_600_t10/c57_lb_225_600_t10.m3u8?key=0b292c335e5837e94abaa8d3135e83ce3
玩具乐园,http://lvbaiducdncmn.inter.iqiyi.com/tslive/c57_lb_213_600_t10/c57_lb_213_600_t10.m3u8?key=0f2a06793124310bc21adebc9f02a9735
