//📺  港•澳•台（仅用于测试学习，请勿商用，如有侵权请联系删除）,#genre#
📺看电视3.0,#genre#
《早安回隆》,https://alimov2.a.kwimgs.com/up/2023/01/16/05/BMjAyMzAxMTYwNTA0NDBfOTk2ODk3MDgzXzkzNzEyMzQ2MTg5XzJfMw==_b_B71047ade4c949bd2edb63dcc557625ee.mp4
看电视3.0凤凰卫视,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8 
看电视3.0凤凰卫视,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8 
看电视3.0凤凰卫视,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8 
看电视3.0凤凰卫视,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8 
看电视3.0凤凰卫视,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8 
看电视3.0凤凰卫视,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8 
看电视3.0凤凰卫视,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8 
凤凰资讯,http://tvmvip110.club/fengh.php?id=1 
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8 
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8 
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8 
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8 
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8 
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8 
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8 





公视戏剧台,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8

公视戏剧台,https://j3.lhlh.app/mv.m3u8



香港耀财财经台,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
香港耀财财经台,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
香港耀财财经台,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000?zgangd




凤凰香港,http://tvmvip110.club/fengh.php?id=3

凤凰香港,http://www.336699.live:1935/blocksix/4gtv-live021.stream/chunklist.m3u8

TVBS卫星台,http://158.101.151.82:9000/jmsytb.m3u8?c=4
TVBS卫星台,http://2023.stream-link.org/playlist/tvbs


八大精彩台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
佛教频道1,https://live.ciguang.tv/live/hdtv.m3u8?auth_key=5216465889-0-0-701a98b03302233fc07fa2ee9e85d39b


佛教频道2,https://hk1.amtb.de/liveedge/_definst_/sanshi_720p/playlist.m3u8


香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv





中视经典台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
中视经典台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8

台湾番薯台2,http://www.336699.live:1935/blockfour/4gtv-4gtv062.stream/playlist.m3u8

台湾番薯台2,rtmp://9wv7.mine.nu/sat/tv091#http://198.16.64.10:8278/zhongshihd_twn/playlist.m3u8?tid=MB8B7313326473133264&ct=19226&tsum=ae7506028e559f3a6e2a3519b2f6a91e#rtmp://9wv7.mine.nu/sat/tv091





TVBS新闻台,http://pull-l3-cny.douyincdn.com/third/stream-e6b6ef594c30eb3f3de0fa4ba0ce86e6.m3u8
TVBS新闻台,http://2023.stream-link.org/playlist/tvbs_news
TVBS新闻台,http://pull-l3-cny.douyincdn.com/third/stream-e6b6ef594c30eb3f3de0fa4ba0ce86e6.flv
