央视,#genre#	


CCTV-1 综合,http://139.9.188.172:5678/sxg.php?id=CCTV-1H265_4000
CCTV-2 财经,http://139.9.188.172:5678/sxg.php?id=CCTV-2H265_4000
CCTV-3 综艺,http://139.9.188.172:5678/sxg.php?id=CCTV-3H265_4000
CCTV-4 中文国际,http://139.9.188.172:5678/sxg.php?id=CCTV-4H265_4000
CCTV-5 体育,http://139.9.188.172:5678/sxg.php?id=CCTV-5H265_4000
CCTV-5+ 体育赛事,http://139.9.188.172:5678/sxg.php?id=CCTV-5plusH265_4000
CCTV-6 电影,http://139.9.188.172:5678/sxg.php?id=CCTV-6H265_4000
CCTV-7 国防军事,http://139.9.188.172:5678/sxg.php?id=CCTV-7H265_4000
CCTV-8 电视剧,http://139.9.188.172:5678/sxg.php?id=CCTV-8H265_4000
CCTV-9 纪录,http://139.9.188.172:5678/sxg.php?id=CCTV-9H265_4000
CCTV-10 科教,http://139.9.188.172:5678/sxg.php?id=CCTV-10H265_4000
CCTV-11 戏曲,http://139.9.188.172:5678/sxg.php?id=CCTV-11-H265_4000
CCTV-12 社会与法,http://139.9.188.172:5678/sxg.php?id=CCTV-12H265_4000
CCTV-13 新闻,http://139.9.188.172:5678/sxg.php?id=CCTV-xw_4000
CCTV-14 少儿,http://139.9.188.172:5678/sxg.php?id=CCTV-14H265_4000
CCTV-15 音乐,http://139.9.188.172:5678/sxg.php?id=CCTV-15-yyH265_4000
CCTV-16 奥林匹克,http://139.9.188.172:5678/sxg.php?id=CCTV-16_4000
CCTV-16 奥林匹克 4K,http://139.9.188.172:5678/sxg.php?id=CCTV-16-4K_8000
CCTV-17 农业农村,http://139.9.188.172:5678/sxg.php?id=CCTV-17_4000
CCTV-4K 超高清,http://139.9.188.172:5678/sxg.php?id=ys4Kcq_2000
4K超高清电影 4K,http://139.9.188.172:5678/sxg.php?id=emdy4k_8000
欢笑剧场4K,http://139.9.188.172:5678/sxg.php?id=hxjc-4k_8000
CETV-1,http://139.9.188.172:5678/sxg.php?id=CETV-1H264_4000
CETV-4,http://139.9.188.172:5678/sxg.php?id=CETV-4H264_2000
CHC动作电影,http://139.9.188.172:5678/sxg.php?id=wqCHCdzdyH265_4000
CHC高清电影,http://139.9.188.172:5678/sxg.php?id=lnwsCHC-HDH265_4000
CHC家庭影院,http://139.9.188.172:5678/sxg.php?id=jbtygqCHCjtyyH265_4000
动漫秀场,http://139.9.188.172:5678/sxg.php?id=yybb-dmxc-H265_4000
都市剧场,http://139.9.188.172:5678/sxg.php?id=yxfydsjcHDH265_4000
法治天地,http://139.9.188.172:5678/sxg.php?id=fztx_4000
极速汽车,http://139.9.188.172:5678/sxg.php?id=jsqcH265_4000
纪实科教,http://139.9.188.172:5678/sxg.php?id=bjjs_2000
嘉佳卡通,http://139.9.188.172:5678/sxg.php?id=jjkt_2000
家庭理财,http://139.9.188.172:5678/sxg.php?id=jtlc_4000
江苏财富天下,http://139.9.188.172:5678/sxg.php?id=cftx_4000
金鹰纪实,http://139.9.188.172:5678/sxg.php?id=jyjsHDH265_4000
金鹰卡通,http://139.9.188.172:5678/sxg.php?id=jykt_2000
