🏅世界杯频道,#genre#
CCTV5-高清(1),http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-高清(2),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-高清(3),http://111.29.9.37:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
CCTV5-高清(4),http://111.29.9.42:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
CCTV16-1080P-HLG源,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
五星体育(1),http://60.213.135.147/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育(2),http://14.205.73.133/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育(3),http://111.29.9.48:6610/000000001000/5000000010000017540/index.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3 
🎸DJ热,#genre#
👩‍👩‍👧‍👦影视直播分享群,https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4
广场舞《还没有爱够》,https://vd3.bdstatic.com/mda-ne2h4issmufkjebu/sc/bd265_cae_v4_delogo/1651623094125376294/mda-ne2h4issmufkjebu.mp4
《来生早点遇见你》,https://vd3.bdstatic.com/mda-mkue58m39t5m4dr2/sc/bd265_cae_v4_delogo/1651365972329383794/mda-mkue58m39t5m4dr2.mp4
《2022年一切随心愿》,https://vd3.bdstatic.com/mda-nah1sm31tzzk3utp/sc/bd265_cae_delogo/1642496475459482368/mda-nah1sm31tzzk3utp.mp4#
梦里全是你的温柔,https://vd3.bdstatic.com/mda-nbtih52h05uq8eh8/sc/bd265_cae_delogo/1646132659464874606/mda-nbtih52h05uq8eh8.mp4#
《爱难求情难断…》,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4#
酒吧DJ舞曲,https://vdse.bdstatic.com//5208fb24e1d76b0e81f992e91537f086.mp4#
花都开了你来不来DJ,https://vd3.bdstatic.com/mda-mdee523swbezmsin/480p/h264/1618480997/mda-mdee523swbezmsin.mp4
九妹,https://vd3.bdstatic.com/mda-nau8s6nsyj96mffw/480p/h264_delogo/1643441061627872991/mda-nau8s6nsyj96mffw.mp4
DJ爆红情歌,https://vd3.bdstatic.com/mda-ndv4c2sjkixp16nw/hd/cae_h264_delogo/1651314865313430355/mda-ndv4c2sjkixp16nw.mp4
