银河会员频道1,#genre#
HND-513 河南実里,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/7/HND-513/index.m3u8
MXBD-221 吉沢明歩,http://videocdnbaidu.rhsj520.com/rbny/20180812/jzmb/MXBD-221/index.m3u8
DVDMS-329-2,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/3/dvdms-329-2/index.m3u8
WANZ-297 麻倉憂,http://videocdnbaidu.rhsj520.com/rbny/20180807/mcy/WANZ-297/index.m3u8
IANF-027 石原ルリカ,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/7/IANF-027/index.m3u8
PPPD-504 JULIA,http://videocdnbaidu.rhsj520.com/rbny/20180806/jx/PPPD-504/index.m3u8
WANZ-135 桜井あゆ,http://videocdnbaidu.rhsj520.com/rbny/20181005/yjb/WANZ-135/index.m3u8
RCT-505,http://videocdnbaidu.rhsj520.com/rbny/20180821/lmyly/RCT-505/index.m3u8
VENU-458,http://videocdnbaidu.rhsj520.com/rbny/20180901/tgyly/VENU-458/index.m3u8
KAWD-893 小栗もなか,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/2/KAWD-893/index.m3u8
DMBJ-059 桜井あゆ,http://videocdnbaidu.rhsj520.com/rbny/20181005/yjb/DMBJ-059/index.m3u8
IPTD-535 松島かえで,http://videocdnbaidu.rhsj520.com/rbny/20180821/sdf/IPTD-535/index.m3u8
PPPD-304 JULIA,http://videocdnbaidu.rhsj520.com/rbny/20180806/jx/PPPD-304/index.m3u8
MIDE-334 神咲詩織,http://videocdnbaidu.rhsj520.com/rbny/20181005/sgsz/MIDE-334/index.m3u8
DXMG-027 波多野結衣,http://videocdnbaidu.rhsj520.com/rbny/20180915/bdyjy/DXMG-027/index.m3u8
VRTM-350,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181125/2/xzly/VRTM-350/index.m3u8
WANZ-281 麻倉憂,http://videocdnbaidu.rhsj520.com/rbny/20180807/mcy/WANZ-281/index.m3u8
MXGS-1057 大槻ひびき,http://videocdnbaidu.rhsj520.com/rbny/20180915/dgx/MXGS-1057/index.m3u8
SNIS-268 藍沢潤,http://videocdnbaidu.rhsj520.com/rbny/20180804/_/LCR/SNIS-268/index.m3u8
RBD-541 籠城5 西野翔 妃乃ひかり 浅野唯,http://videocdnbaidu.rhsj520.com/rbny/20180811/xyx/RBD-541/index.m3u8
1pon-100315_165 真野ゆりあ,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/3/1pon-100315_165/index.m3u8
1pondo-101216_403 蒼井さくら,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181201/1db/101216_403/index.m3u8
HND-602 篠田ゆう,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/3/hnd-602/index.m3u8
SERO-364,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181212/loo/SERO-364/index.m3u8
MDB-678,http://videocdnbaidu.rhsj520.com/rbny/20180915/bdyjy/MDB-678/index.m3u8
SNIS-418 星野ナミ,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/1/SNIS-418/index.m3u8
WANZ-332 麻倉憂,https://videocdnbaidu.rhsj520.com/rbny/20180807/mcy/WANZ-332/index.m3u8
IPZ-489 Rio,http://videocdnbaidu.rhsj520.com/rbny/20180806/ymtn/IPZ-489/1/index.m3u8
Caribbean-050514-596,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181212/jlb/050514-596/index.m3u8
BBAN-132,http://videocdnbaidu.rhsj520.com/rbny/20180804/_/AIKA/BBAN-132.mp4/index.m3u8
TIKB-020 霧島さくら,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181212/loo/TIKB-020/index.m3u8
1pondo-092716_392 鈴羽みう,http://videocdnbaidu.rhsj520.com/rbny/20181005/ybd/092716_392/index.m3u8
1pondo-120815_203 三浦春佳,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/4/1pon-120815_203/index.m3u8
1pondo-102215_184 上原亜衣,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/102215_184-1pon/index.m3u8
ANX-054 波多野結衣,http://videocdnbaidu.rhsj520.com/rbny/20180915/bdyjy/ANX-054/index.m3u8
Caribbean-053014-611,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181212/jlb/053014-611/index.m3u8
Caribbean-051016-158,https://videocdnbaidu.rhsj520.com/rbny/20181005/jlbx/051016-158/index.m3u8
IPZ-207 Rio,http://videocdnbaidu.rhsj520.com/rbny/20180806/ymtn/IPZ-207/index.m3u8
ATID-252 水谷心音,http://videocdnbaidu.rhsj520.com/rbny/20180901/sgxy/ATID-252/index.m3u8
MIDD-994 JULIA,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/1/MIDD-994-B/index.m3u8
MEYD-040 林ゆな,http://videocdnbaidu.rhsj520.com/rbny/20180806/lyn/MEYD-040/1/index.m3u8
ABP-198 冬月かえで,http://videocdnbaidu.rhsj520.com/rbny/20180915/dyf/ABP-198/index.m3u8
PGD-766 里美ゆりあ,http://videocdnbaidu.rhsj520.com/rbny/20180901/lmyly/PGD-766/index.m3u8
APKH-086 八尋麻衣,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/2/new/apkh-086/index.m3u8
DOHI-053,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/7/DOHI-053/index.m3u8
SMD-117 保坂えり,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181212/loo/SMD-117/index.m3u8
BTC-003 さとう遥希,http://videocdnbaidu.rhsj520.com/rbny/20180821/ztyx/BTC-003/index.m3u8
MAS-087 滝澤ローラ,http://videocdnbaidu.rhsj520.com/rbny/20180812/lzll/mas-087/1/index.m3u8
PGD-403 冬月かえで,http://videocdnbaidu.rhsj520.com/rbny/20180915/dyf/PGD-403/index.m3u8
1PONDO-080616-355 篠田あゆみ,http://videocdnbaidu.rhsj520.com/rbny/20181005/ybd/080616_355/index.m3u8
SNIS-416 吉沢明歩,http://videocdnbaidu.rhsj520.com/rbny/20180812/jzmb/SNIS-416/index.m3u8
Caribbean-110314-727,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181212/jlb/110314-727/index.m3u8
1PONDO-052616-305 白河里奈,http://videocdnbaidu.rhsj520.com/rbny/20181005/ybd/052616_305/index.m3u8
MUM-224 あず希,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181212/12/MUM-224/index.m3u8
PXV-080 蒼井そら,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181125/6/cjk/PXV-080/index.m3u8
MISM-016 木南日菜,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/1/mnrc/MISM-016/index.m3u8
パコパコママ 050218_265 北条麻妃,http://videocdnbaidu.rhsj520.com/rbny/20180915/mmxl/050218_265/index.m3u8
MEYD-390 希島あいり,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/7/MEYD-390/index.m3u8
Caribbean-101916-284,http://videocdnbaidu.rhsj520.com/rbny/20181005/jlbx/101916-284/index.m3u8
JUC-602 篠田ゆう,http://videocdnbaidu.rhsj520.com/rbny/20180915/xty/JUC-602/index.m3u8
Caribbean-052314-606,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181212/jlb/052314-606/index.m3u8
DIY-081 千野くるみ,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181212/12/DIY-081/index.m3u8
MXBD-198 木南日菜,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/1/mnrc/MXBD-198/index.m3u8
1PONDO-092916-394 加藤ツバキ,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181201/1db/092916_394/index.m3u8
IPX-214,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/2/IPX-214-c/index.m3u8
MIDE-234 西川ゆい,http://videocdnbaidu.rhsj520.com/rbny/20180915/xcjy/MIDE-234/index.m3u8
CHN-042 冬月かえで,http://videocdnbaidu.rhsj520.com/rbny/20180915/dyf/CHN-042/index.m3u8
MIDD-990 西川ゆい,http://videocdnbaidu.rhsj520.com/rbny/20180915/xcjy/MIDD-990/index.m3u8
Tokyo-Hot n0506,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181125/6/djr/n0506/index.m3u8
Tokyo-Hot n0869,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/djr/n0869/index.m3u8
Tokyo-Hot n0813,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181125/7/djr/n0813/index.m3u8
Tokyo-Hot n0429,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181125/5/djr/n0429/index.m3u8
Tokyo-Hot n0876,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/djr/n0876/index.m3u8
SUJI-101,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/6/suji-101/index.m3u8
WANZ-265 沖田杏梨,https://videocdnbaidu.rhsj520.com/rbny/20180806/ctxl/WANZ-265/index.m3u8
TIKB-028 波木はるか,https://video1.rhsj520.com/nyrm3/tikb/tikb-028-2/1500kb/hls/index.m3u8
Tokyo-Hot n0803,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181125/7/djr/n0803/index.m3u8
SOE-811 姫野ゆうり,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/1/new/SOE-811A/index.m3u8
Caribbean-111110-532,https://video1.rhsj520.com/nyrm3/jlb-112/111110-532/1500kb/hls/index.m3u8
1Pondo-121316-444 真琴りょう,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/2/1bd/121316_444/index.m3u8
EKDV-219 長澤あずさ,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/1/EKDV-219-B/index.m3u8
SHKD-765 夏目あきら,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/8/SHKD-765/index.m3u8
JUY-674,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/5/juy-674/index.m3u8
SDMU-223,https://video1.rhsj520.com/nyrm3/lyaml/SDMU-223/1500kb/hls/index.m3u8
1Pondo-010118-005 神田るな,http://videocdnbaidu.rhsj520.com/rbny/20181005/ybd/010118_005/index.m3u8
FETJ-308 友田彩也香,https://videocdnbaidu.rhsj520.com/rbny/20180901/ytcyx/FETJ-308/index.m3u8
BKD-204 竹内梨恵,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/2/new/bkd-204/index.m3u8
SSPD-111 西野翔,http://videocdnbaidu.rhsj520.com/rbny/20180811/xyx/SSPD-111/index.m3u8
PPPD-320 JULIA,https://videocdnbaidu.rhsj520.com/rbny/20180806/jx/PPPD-320/index.m3u8
MGSMPL-001 桃谷エリカ,https://videocdnbaidu.rhsj520.com/rbny/20180728/tghlx/MGSMPL-001/index.m3u8
Caribbean-030816-112 篠田あゆみ,https://videocdnbaidu.rhsj520.com/rbny/20181005/jlbx/030816-112/index.m3u8
DVDMS-334,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/3/dvdms-334/index.m3u8
