新源,#genre#
翡翠台,http://2022.stream-link.org/playlist/tvb_jade
华丽台,http://2022.stream-link.org/playlist/astro_jade
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
中天综合,http://107.151.203.111:2209/135/us50.php?id=ztz
中天娱乐台,http://pull-l3-cny.douyincdn.com/third/stream-37e4951f0608d79a74ebed4ab2da462a.m3u8
有线新闻台,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
有线新闻台,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
有线直播台,http://pull-l3-cny.douyincdn.com/third/stream-1696778d64f00f3f9c0aefe3b2136ffe.m3u8
有线新闻台,http://pull-l3-cny.douyincdn.com/third/stream-3ce3ba86a40b1b2055eeda4f8cf6517e.m3u8
卫视电影台,http://www.yshmzmc.top/gtjm.php?id=live1031
卫视中文台,http://pull-l3-cny.douyincdn.com/third/stream-41f29bf461ffa99e595f70b9593c61aa.m3u8
HBO家庭,http://pull-l3-cny.douyincdn.com/third/stream-1279e1fd458348b32fd60381b1017c09.m3u8
HBO原创,http://pull-l3-cny.douyincdn.com/third/stream-9bfb4b08fec367ed3850357a853250d5.m3u8
HBO強檔,http://pull-l3-cny.douyincdn.com/third/stream-162f0111fdd134e929d72640e6c4ea56.m3u8
AXN,http://pull-l3-cny.douyincdn.com/third/stream-304b8e04a437299311112b7f4902c9dd.m3u8
CINEMAX,http://pull-l3-cny.douyincdn.com/third/stream-af25e1a3f0fff1e8ea22c55a0c9352f0.m3u8
龙祥电影台,http://119.140.58.223:9901/hls/14/index.m3u8
TV星河,http://119.140.58.223:9901/hls/12/index.m3u8
CHC高清电影,http://119.140.58.223:9901/hls/9/index.m3u8
CHC动作电影,http://119.140.58.223:9901/hls/17/index.m3u8
广东综艺4K,http://119.140.58.223:9901/hls/44/index.m3u8
星空卫视,http://159.75.85.63:8765/telegram@feiyangdigital-xingkong.m3u8
广东体育,http://159.75.85.63:8765/telegram@feiyangdigital-gdty.m3u8
翡翠台,http://159.75.85.63:8765/telegram@feiyangdigital-feicui.m3u8
明珠台,http://159.75.85.63:8765/telegram@feiyangdigital-mingzhu.m3u8
CCTV4K,http://159.75.85.63:8765/telegram@feiyangdigital-cctv4k.m3u8
CCTV16-4K,http://159.75.85.63:8765/telegram@feiyangdigital-cctv16-4k.m3u8
广东综艺4K,http://159.75.85.63:8765/telegram@feiyangdigital-gdzy4k.m3u8

无线翡翠台,https://cdn.hklive.tv/xxxx/81/index.m3u8
无线J2,https://cdn.hklive.tv/xxxx/82/index.m3u8
无线新闻台,https://cdn.hklive.tv/xxxx/83/index.m3u8
无线财经体育资讯台,https://cdn.hklive.tv/xxxx/85/index.m3u8
无线明珠台,https://cdn.hklive.tv/xxxx/84/index.m3u8
viuTV99,https://cdn.hklive.tv/xxxx/99/index.m3u8
viuTV96,https://cdn.hklive.tv/xxxx/96/index.m3u8
有线新闻台,http://61.10.2.140/live_freedirect/freehd209_h.live/playlist.m3u8
有线直播台,http://61.10.2.148/live_freedirect/hd110_h.live/playlist.m3u8
有线财经资讯台,http://61.10.2.140/live_freedirect/freehd208_h.live/playlist.m3u8
CETV1,http://txycsbl.centv.cn/zb/0628cetv1.m3u8
CETV1,http://183.207.255.188/live/program/live/zgjy1ott/1300000/mnf.m3u8
CETV2,http://txycsbl.centv.cn/zb/0822cetv2.m3u8
CETV3,http://txycsbl.centv.cn/zb/0822cetv3.m3u8
CETV4,http://txycsbl.centv.cn/zb/0822cetv4.m3u8
