🏆新春央视,#genre#
CCTV1,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f//index.m3u8
CCTV2,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv2HD/__op/default/__f//index.m3u8
CCTV3,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f//index.m3u8
CCTV4,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv4HD/__op/default/__f//index.m3u8
CCTV5,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f//index.m3u8
CCTV5+,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//index.m3u8
CCTV6,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV7,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8
CCTV8,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8
CCTV9,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//index.m3u8
CCTV10,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv10HD/__op/default/__f//index.m3u8
CCTV11,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//index.m3u8
CCTV12,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//index.m3u8
CCTV13,http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f//index.m3u8
CCTV14,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctvseHD/__op/default/__f//index.m3u8
CCTV15,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv15HD/__op/default/__f//index.m3u8
CCTV16,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv16HD/__op/default/__f//index.m3u8
CCTV17,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv17HD/__op/default/__f//index.m3u8

CCTV1,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV2,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV3,http://125.210.152.19:9120/live/hzgq-cctv3gq-h264.m3u8
CCTV4,http://125.210.152.19:9120/live/hzgq-cctv4gq-h264.m3u8
CCTV5,http://125.210.152.19:9120/live/hzgq-cctv5gq-h264.m3u8
CCTV6,http://125.210.152.19:9120/live/hzgq-cctv6gq-h264.m3u8
CCTV5,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV7,http://125.210.152.19:9120/live/hzgq-cctv7gq-h264.m3u8
CCTV8,http://125.210.152.19:9120/live/hzgq-cctv8gq-h264.m3u8
CCTV9,http://125.210.152.19:9120/live/hzgq-cctvjlgq-h264.m3u8
CCTV10,http://125.210.152.19:9120/live/hzgq-cctv10gq-h264.m3u8
CCTV11,http://125.210.152.19:9120/live/hzgq-cctv11gq-h264.m3u8
CCTV12,http://125.210.152.19:9120/live/hzgq-cctv12gq-h264.m3u8
CCTV13,http://125.210.152.19:9120/live/hzgq-cctvnewsgq-h264.m3u8
CCTV14,http://125.210.152.19:9120/live/hzgq-cctvsegq-h264.m3u8
CCTV15,http://125.210.152.19:9120/live/hzgq-cctvmusicgq-h264.m3u8
