🇨🇳央视高清,#genre#

CCTV-1 综合,http://iptv.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV-2 财经,http://iptv.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV-3 综艺,http://iptv.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV-4 中文国际,http://iptv.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV-5 体育,http://iptv.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV-5+ 体育赛事,http://iptv.cooltv.top/tv/aishang.php?id=cctv5p
CCTV-6 电影,http://iptv.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV-7 国防军事,http://iptv.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV-8 电视剧,http://iptv.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV-9 纪录,http://iptv.cooltv.top/tv/aishang.php?id=cctv9hd2
CCTV-10 科教,http://iptv.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV-11 戏曲,http://iptv.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV-12 社会与法,http://iptv.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV-13 新闻,http://iptv.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV-14 少儿,http://iptv.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV-15 音乐,http://iptv.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV-16 奥林匹克,http://iptv.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV-16 奥林匹克4K,http://iptv.cooltv.top/tv/aishang.php?id=cctv164k
CCTV-17 农业农村,http://iptv.cooltv.top/tv/aishang.php?id=cctv17hd

🇨🇳央视超清,#genre#
CCTV-1 8M,http://cfss.cc/ds/bst.php?id=Cf-1
CCTV-3 8M,http://cfss.cc/ds/bst.php?id=Cf-3
CCTV-4 8M,http://cfss.cc/ds/bst.php?id=Cf-4
CCTV-8 8M,http://cfss.cc/ds/bst.php?id=Cf-9
CCTV-9 8M,http://cfss.cc/ds/bst.php?id=Cf-10
CCTV-10 8M,http://cfss.cc/ds/bst.php?id=Cf-11
CCTV-11 8M,http://cfss.cc/ds/bst.php?id=Cf-12
CCTV-13 8M,http://cfss.cc/ds/bst.php?id=Cf-14
CCTV-15 8M,http://cfss.cc/ds/bst.php?id=Cf-16
CCTV-16 8M,http://159.75.85.63:5681/sxg.php?id=CCTV-16-4K_8000
CCTV-17 8M,http://cfss.cc/ds/bst.php?id=Cf-18

🇨🇳央视备用,#genre#
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV1,http://117.169.120.235:8080/wh7f454c46tw2790121462_-319069717/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV1,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,https://live.v1.mk/api/ghyx.php?id=CCTV1HD_6000
CCTV1,http://117.169.120.242:8080/wh7f454c46tw1490432856_1716888660/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8?icpid=88888888&RTS=1663085841&from=79102&ocs=2_117.169.120.136_8080&hms_devid=1403&online=1663085841&vqe=3
CCTV2],http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV2,http://39.184.224.99:9080/newlive/live/hls/2/live.m3u8
CCTV2,https://live.v1.mk/api/ghyx.php?id=CCTV2HD_6000
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2,http://hls.yun.gehua.net.cn:8088/live/CCTV2HD_1200.m3u8
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,https://live.v1.mk/api/ghyx.php?id=CCTV3HD_6000
CCTV3,http://124.220.17.172:1100/aas.php?id=3
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV4,http://111.20.35.103:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com?
CCTV4[1920*1080],http://39.184.224.99:9080/newlive/live/hls/4/live.m3u8
CCTV4K[3840x2160][3840*2160],http://159.75.85.63:5681/sxg.php?id=ys4Kcq_2000
CCTV4[1920*1080][1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV4[1920*1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5[1920*1080],http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV5[1920*1080],https://live.v1.mk/api/ghyx.php?id=CCTV5HD_6000
CCTV5+[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+[1920*1080],https://live.v1.mk/api/ghyx.php?id=CCTV5plusHD_6000
CCTV5+[1920*1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV5+[1920*1080][1920*1080][1920*1080][1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV6,http://39.184.224.99:9080/newlive/live/hls/6/live.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.135.138.59:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://111.20.35.103:6610/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com?
CCTV7,http://39.184.224.99:9080/newlive/live/hls/7/live.m3u8
CCTV7,https://live.v1.mk/api/ghyx.php?id=CCTV7HD_6000
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV7,http://hls.yun.gehua.net.cn:8088/live/CCTV7HD_1200.m3u8
CCTV8,https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000
CCTV8,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225635/index.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV9[1920*1080],https://live.v1.mk/api/ghyx.php?id=CCTV9HD_6000
CCTV9[1920*1080],http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV9[1920*1080][1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV9[1920*1080][1920*1080][1920*1080][1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV10,https://live.v1.mk/api/ghyx.php?id=CCTV10HD_6000
CCTV10,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV10[1920*1080][1920*1080][1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV11[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV11[1920*1080],http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV11[1920*1080][1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225628/index.m3u8
CCTV12,https://live.v1.mk/api/ghyx.php?id=CCTV12HD_6000
CCTV12,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV12[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225495/index.m3u8?fmt=ts2hls
CCTV13[1920*1080],https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.135.138.59:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV14,https://live.v1.mk/api/ghyx.php?id=CCTV14HD_6000
