
央视-频道,#genre#
CCTV-1综合 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合 (1080p)[1920*1080][1920*1080][1920*1080],http://117.169.120.140:8080/live/cctv-1/.m3u8
CCTV-2财经 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2财经 (1080p)[1920*1080][1920*1080][1920*1080],http://117.169.120.140:8080/live/cctv-2/.m3u8
CCTV-3综艺 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3综艺 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺 (1080p)[1920*1080][1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺 (1080p)[1920*1080][1920*1080][1920*1080],http://117.169.120.140:8080/live/cctv-3/.m3u8
CCTV-3综艺 (480p) [Not 24/7][720*480][720*480][720*480],http://newvideo.dangtutv.cn:8278/CCTVzongyi/playlist.m3u8
CCTV-4中文国际 (1080p)[1920*1080][1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5体育 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5体育 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225648/index.m3u8
CCTV-5+体育赛事 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+体育赛事 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-5+体育赛事 (1080p)[1920*1080][1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6电影 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6电影 (1080p)[1920*1080][1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6电影 (1080p)[1920*1080][1920*1080][1920*1080],http://117.169.120.140:8080/live/cctv-6/.m3u8
CCTV-6电影 (1080p)[1920*1080][1920*1080][1920*1080],http://183.207.248.37/PLTV/3/224/3221227209/index.m3u8
CCTV-7国防军事 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7国防军事 (1080p)[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV-7国防军事 (1080p)[1920*1080][1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225624/index.m3u8
